company,industry,size,year_founded,status,follower_count,tech_stack,benefits
Intuit,"Computer Software, Financial Technology",10k+ employees,1983,Public,654,"['java', 'kotlin', 'scala', 'play', 'spark', 'react', 'aws', 'k8s', 'spring', 'javascript', 'js', 'rds', 'graphdb', 'graphql', 'tomcat', 'nosql', 'aurora', 'dynamodb', 'kafka', 'redis', 'kubernetes', 'docker', 'c++', 'c#', 'iks', 'swift', 'springboot', 'mongodb', 'native', 'obj-c', 'jenkins', 'argo']","['Well-being for Life Reimbursement Program', 'Employee Stock Purchase Program', '401K Match', 'Paid Volunteer Time and Donation Matching', 'Paid Vacation', 'Medical/Dental/Vision Insurance, plus HSA and FSA', 'Parental Leave (Maternity & Paternity)', 'Adoption & Fertility Benefits', 'Transgender Benefits', 'Spotlight Recognition Programs']"
Audible,"Agile Software Development, Content Marketing, Web Technology",1k-5k employees,1995,Public,527,"['java', 'git', 'jquery', 'angular.js', 'requires.js', 'html5', 'css', 'css3', 'javascript', 'perl', 'python', 'ant', 'maven', 'jrebel', 'http', 'live', 'streaming', 'hds', 'smoothstreaming', 'amazon', 'web', 'services', 'ruby', 'cucumber', 'dojo', 'mason', 'jsp', 'junit', 'testng', 'selenium', 'sql', 'hadoop', 'ios', 'objective-c', 'android', 'underscore', 'js', 'sass', 'amd', 'node', 'ipad', 'spring', 'r', 'rstudio']","['Health, Vision, & Dental', 'Amazon Restricted Stock Units', 'Wellness Reimbursement/Onsite Gym', 'Tuition Reimbursement', 'Commuter Assistance', 'Catered Meals', 'Culture and Sports Clubs', 'Local Event Tickets', 'Flex Time', 'Newark Now! Live Local']"
SD Worx,"Cloud-Based Solutions, Financial Services, Product Development",5k-10k employees,1945,VC Funded,101,"['azure', 'azure-devops', 'amazon-web-services', 'asp.net', 'aspose', 'bootstrap-5', 'blueprism', 'cobol', 'c#', 'c++', 'css', 'cqrs', 'core', 'dynatrace', 'docker', 'domain-driven-design', 'elasticsearch', 'flutter', 'git', 'google-cloud-platform', 'html', 'ibm-cloud', 'java', 'jakarta-ee', 'javascript', 'jquery', 'kubernetes', 'knockout.js', 'model-view-controller', 'sql-server', 'reporting-services', '.net', '.net-core', 'npm', 'nuget', 'outsystems', 'odata', 'openid-connect', 'oauth-2.0', 'power-automate', 'postgresql', 'powerbi', 'postman', 'ranorex', 'reactjs', 'rabbitmq', 'sql', 'selenium', 'sonarqube', 'spring', 'scss-mixins', 'sap-successfactors', 'salesforce', 'shuttle', 'signalr', 'snowflake-cloud-data-plat', 'tableau-api', 'typescript', 'tdd', 'tsql', 'visual-studio-code', 'winforms', 'webapi', 'workflow-foundation', 'windows-server', 'x++', 'xamarin', 'xunit']","['An attractive salary based on your experience and achievement.', 'Flexible working hours', 'Working from home possibilities', 'Learning opportunities: development plans & professional trainings', 'Career growth opportunities: both vertically and horizontally']"
Zoi TechCon GmbH,"Cloud Computing, Cloud Services, IT Consulting",201-500 employees,2017,Private,97,"['aws', 'azure', 'google-cloud-platform', 'react', '.net', 'c#', 'node.js', 'typescript', 'javascript', 'kubernetes', 'terraform']","['Germany job ticket (payment of the total amount)', 'Bicycle leasing/company car leasing', 'IT equipment also for private use', 'Business and social events', 'Working hours that are truly flexible', 'Family First - family meeting rooms, participation in childcare costs', 'Continuous development opportunities with certifications and trainings', 'Performance Bonus Model with revenue share from the first day onwards', 'Friday Lunch (Team lunch sponsored by Zoi every Friday)', '20% of the working time can be used for personal growth']"
Discover Financial Svcs,"Banking, Financial Services",10k+ employees,1986,Public,154,"['javascript', 'tableau-api', 'powerbi', 'qlikview', 'teradata', 'hadoop', 'amazon-redshift', 'essbase', 'kubernetes', 'java', 'spring-boot', 'spring', 'json', 'elk', 'logstash', 'kibana', 'gemfire', 'oracle', 'amazon-rds', 'aws-rds', 'cloud-foundry', 'jakarta-ee', 'angularjs', 'node.js', 'github', 'gradle', 'nexus', 'ansible', 'chef-infra', 'cloudfoundry-uaa', 'rabbitmq', 'cucumber']","['Annual Leave - 5 to 7 weeks', 'Tuition Reimbursement and Study Leave', 'Flexible Work Arrangements', 'Pension Scheme', 'Private Medical Insurance and Dental Insurance', 'Family Friendly: Maternity/paternity/adoption pay', 'Employee Assistance Programme: Provides confidential advice', 'Supportive and inclusive culture']"
Discover Financial Services,"Banking, Financial Services, Financial Technology",10k+ employees,1985,Public,186,"['tableau-api', 'powerbi', 'qlikview', 'teradata', 'hadoop', 'amazon-redshift', 'essbase', 'kubernetes', 'java', 'spring-boot', 'spring', 'json', 'elk', 'logstash', 'kibana', 'gemfire', 'oracle', 'amazon-rds', 'aws-rds', 'cloud-foundry', 'jakarta-ee', 'angularjs', 'node.js', 'github', 'gradle', 'nexus', 'ansible', 'chef-infra', 'cloudfoundry-uaa', 'rabbitmq', 'cucumber']","['Paid Time Off - 4 to 6 weeks per year', 'Health Insurance', 'Education Assistance', '401k Savings Plan', 'Flexible Work Arrangements', 'Onsite Health Clinics', 'Employee Assistance Program: Access to free & confidential counseling', 'Caregiving Support: Helps you find caregivers for family', 'Inclusive and uplifting culture']"
Global Industrial,"B2B Sales, eCommerce, Information Technology",1k-5k employees,1949,Public,109,"['java', 'jakarta-ee', 'spring', 'reactjs', 'next.js', 'jquery', 'css', 'oracle', 'nosql', 'jms', 'activemq', 'amazon-web-services', 'powerbi', 'microsoft-cognitive', 'sql-server', 'maven', 'git', 'python']","['Employee Stock Purchase Plan – 15% discount off market price', 'Comprehensive Wellness package', '401k with company match', 'Tuition Reimbursement', 'Inclusive culture', 'Flexible work/life balance', 'Earn up to 3 weeks-vacation & 5 personal days within the first year', 'Generous employee discount program', 'Entrepreneurial DNA - we empower you to be successful', 'Awarded Best CEO & Best Place to Work in NY']"
JPMorgan Chase & Co.,Financial Services,10k+ employees,1799,Public,1.1k,"['java', 'python', 'sql', 'devops', 'bigdata', 'mobile', 'cloud', 'microservices', 'machine-learning', 'infrastructure', 'software-design', 'javascript', 'c++', 'data-science', 'neural-network', 'nlp', 'natural-language-processi', 'processing', 'deep-learning', 'artificial-intelligence']","['Healthcare and Insurance Plans', 'Wellness Programs', 'Maternity and Paternity Leave, Adoption Assistance', 'Retirement Savings Programs', 'Paid Time Off', 'Tuition Assistance', 'Access to Arts and Entertainment Program', 'Stock Purchase Plan', 'Charitable Contribution Matching', 'Learning & Development Resources']"
PayPay Corporation.,Financial Technology,1k-5k employees,2018,Private,694,"['java', 'spring-boot', 'amazon-web-services', 'kubernetes', 'apache-kafka', 'microservices', 'jenkins', 'datadog', 'aurora', 'kibana', 'redis', 'rds', 'git', 'github', 'jira', 'agile', 'scramble', 'elasticsearch', 'load-balancing', 'android', 'ios', 'kotlin', 'scala', 'swift', 'javascript', 'restfulapi', 'python', 'go', 'typescript', 'tidb']","['Work from anywhere at anytime', 'Free Access to WeWork Office in Japan', 'Pay for Performance', 'Relocation Package (Moving Cost, Travel Tickets, Monthly Apartment)', 'Japanese/English boot camp', 'Health Insurance, Employee Benefits at PayPay called ""YG Kenpo""', 'Annual Leaves, Congratulatory Leaves & more']"
ASML,"Hardware Development, Semiconductors, Software Development / Engineering",10k+ employees,1984,Public,347,"['c#', 'java-ee', 'c++', 'c', 'python', 'oop', 'unix', 'linux', 'jboss', 'jenkins', 'maven', 'java', 'delphi', 'agile', 'scrum']","['Competitive salary', 'Paid vacation & other time off', 'Educational assistance with our Global Training & Studies Program', 'Variable pay plan', 'Comprehensive health & welfare benefits', 'Pension plan', 'Employee share purchase plan', 'Travel reimbursement', 'Employee referral bonus', 'International career opportunities']"
Thermo Fisher Scientific Careers,"Biotechnology, Pharmaceuticals, Science",10k+ employees,1956,Public,410,"['javascript', 'sql', 'python', 'artificial-intelligence', 'azure', 'analytics', 'robotics', 'encoding', 'jquery', 'amazon-web-services', 'sap', 'computer-science', 'data-science']","['Choice of national medical and dental plans, and national vision plan', 'A wellness program, and valuable health incentive opportunities', 'Tax-advantaged savings and spending accounts, commuter benefits', 'Flexible Working Policy', 'Tuition reimbursement and scholarship programs & Internal University', 'Access to our proprietary, company-paid cancer care program', 'Paid volunteer time and charitable gift matching', 'Health Savings Account, Retirement and Savings Program with match', 'Employees’ Stock Purchase Plan (ESPP)', 'Business Resource Groups (BRG)']"
"Logius, onderdeel ministerie BZK","Computer Software, Government, IT Consulting",501-1k employees,Public,44,,"['grafana', 'kibana', 'thanos', 'minio', 'harbor', 'openvpn', 'lets-encrypt', 'kubernetes', 'haproxy', 'fluentd', 'nginx', 'gitlab', 'keycloak', 'jaeger', 'f5', 'cloudnative-pg', 'prometheus', 'elasticsearch', 'sonatype', 'nexus', 'openshift', 'kubectl', 'loadbalancer', 'ingress', 'overheisnetwerk', 'sealedsecret', 'cert-manager', 'vault', 'fluent-bit', 'elastic', 'linux', 'java', 'terraform', 'postgresql', 'html', 'css', 'javascript', 'hibernate', 'jpa', 'thymeleaf', 'solr', 'solrj', 'ember.js', 'restapi', 'apigee', 'json', 'digikoppeling', 'ebms', 'tls', 'oauth', 'saml', 'pki', 'splunk', 'jira', 'drupal', 'figma', 'gartner', 'spotler', 'spss']","['Individueel keuze budget (IKB) van 16,37% over je bruto salaris', 'Hybride werken', 'SAfe Agile werkwijze', 'Werken in sprints', 'Werken voor 17 miljoen Nederlanders', 'Volledige reiskostenvergoeding', 'Een goed salaris', 'Bedrijfsfitness', 'Werken met de nieuwste technologie', 'Uitstekende secundaire arbeidsvoorwaarden conform de CAO Rijk']"
Deutsche Börse Group,"Customer Data Platform, Financial Technology, High Frequency Trading",10k+ employees,Private,103,,"['c++', 'java', 'python', 'google-cloud-platform', 'ansible', 'terraform', 'elk', 'kubernetes', 'openshift-origin']","['HYBRID WORK – our working model combines the best of both worlds', 'FLEXIBLE WORKING HOURS – we want your job to fit your life', 'HEALTH AND WELLBEING – we promote your health and offer insurances', 'DEVELOPMENT – we promote your individual development', 'INTERNATIONALITY – our #oneglobalteam is present at 55 locations', 'WORK ENVIRONMENT – find your perfect workspace in our offices', 'MOBILITY – move freely with our job tickets and job bikes', 'FINANCIAL STABILITY – we offer a Group Share Plan, bonuses and more']"
"Coder Technologies, Inc.","Enterprise Software, Software Development, Software Development / Engineering",51-200 employees,2017,VC Funded,48,"['go', 'open-source', 'typescript', 'reactjs', 'postgresql', 'linux', 'grafana', 'kubernetes', 'google-cloud-platform', 'terraform', 'amazon-web-services', 'azure', 'helm3', 'backstage', 'visual-studio-code']","['Generous medical / dental / vision coverage / FSA and HSA', '401(k) w/ 4% match', 'Fertility benefits through Carrot Fertility & generous parental leave', 'Monthly stipend for wellness', 'Monthly stipend for learning & development', 'Annual company offsite trip', 'Unlimited PTO & flexible schedule', 'Paid sabbatical every 5 years', 'Remote work from anywhere, or join our Austin or San Francisco offices', 'Annual workstation allowance for your home office']"
Kraken,Green Energy,501-1k employees,2019,VC Funded,125,"['python', 'django', 'react', 'graphql', 'postgresql']","['Flex Office', 'Profit sharing: Equity options Scheme', 'Relaxation - we don’t count your holidays here!', 'Great Culture']"
Gatekeeper,"Computer Software, Enterprise Software, Legal Technology",51-200 employees,Private,42,,"['ruby-on-rails', 'javascript', 'hotwire-rails', 'postgresql']","['Fully remote working. Our team currently spans 15 countries', 'Flexible hours to fit around your schedule and personal commitments', 'Regular retreats and meetups', 'Monthly health & wellbeing perk', 'Generous time off allowance', 'Online therapy/meditation subscription']"
RELEX Solutions,"Retail Industry, Supply Chain Management Software",1k-5k employees,2005,Private,40,"['typescript', 'react', 'redux', 'jest', 'kubernetes', 'cypress', 'java', 'ruby', 'gitlab', 'terraform']","['Flexible Working', 'Health Insurance, Occupational Health Services and Employee Assistance', 'Annual Bonus', 'Parental Leave', 'Annual Leave', 'Paid Charity Days', 'Paid Team Days', 'Cultural & Well-Being Benefits']"
Statkraft,"Energy & Commodities, Green Energy",5k-10k employees,1895,Public,59,"['c++', 'c#', 'python', 'azure', 'reactjs', 'typescript', 'angular', 'gitlab', 'kubernetes', 'databricks', 'biztalk', 'uipath', 'postgresql', 'mongodb']","['Caring and supportive work-culture', 'Flat hierarchies that offer amazing career possibilities', 'Free languages courses, sport club memberships and cabins', 'Child-care support and many part-time opportunities', 'Endless learning opportunities - digital & on-site programs', 'Health insurances and free med-check ups', 'Great compensation schemes with fair bonus systems', 'Social events, team offsites and other regular team activities', 'Subsidised canteen food and fresh fruit baskets', 'Hybrid working models and state of the art workplaces']"
ING Deutschland,"Banking, Finance, Financial Technology",5k-10k employees,1965,Public,227,"['java', 'java-ee', 'ios', 'android', 'git', 'maven', 'spring', 'python', 'oracle', 'sdk', 'scala', 'r', 'hadoop', 'microservices', 'c#', 'bigdata', 'angular', 'fitnesse', 'sql', 'wicket', 'hibernate', 'jenkins', 'cloud', 'swift', 'spring-boot', 'scrum', 'kanban', 'openshift', 'kubernetes', 'azure', 'elasticsearch', 'elastic-stack', 'prometheus', 'ansible', 'docker', 'unix', 'linux', 'apache-kafka', 'tomcat', 'jboss', 'javascript', 'html', 'elk', 'mysql', 'continuous-integration', 'continuous-delivery', 'etl', 'business-intelligence', 'automated-tests', 'plsql', 'eclipse', 'database', 'apache-spark', 'pandas', 'apache-flink', 'numpy', 'cobol', 'jakarta-ee']","['Jährlich 500 € persönliches Budget zur individuellen Weiterbildung', 'Globale IT-Community', 'Individuelle Arbeitszeitmodelle & Sabbatical', 'Jährlich 300 € Gesundheitsbudget', 'Betriebliche Altersvorsorge', 'Vermögenswirksame Leistungen', 'Deutschlandticket & Bike LeasING', 'Zuschüsse zu Pflege- und Kinderbetreuung', 'Betriebsrestaurant & kostenlose Getränke']"
MongoDB,"Computer Software, Databases, Enterprise Software",5k-10k employees,2007,Public,654,"['c++', 'c++17', 'go', 'java', 'python', 'javascript', 'reactjs', 'typescript', 'mongodb', 'mongoose', 'mongodb-query', 'rust', 'swift', 'dart', 'kotlin', '.net']","['Working models we provide: Remote, flexible or In-Office.', 'Health Care', 'Paid Parental Leave of 20+ weeks for both mothers and fathers', 'Flexible PTO policy', 'Reimburse 90% of fertility health, adoption, or surrogacy expenses', 'Ongoing Growth & Development opportunities', 'Dental & Vision Care', 'Employee Stock Purchase Program', 'Corporate Gym Discounts', 'Travel Insurance']"
American Express.,"Finance, Financial Services, Financial Technology",10k+ employees,1850,Private,665,"['java', 'python', 'hadoop', 'spark', 'ai', 'machine-learning', 'ios', 'android', 'salesforce', 'golang', 'cloud', 'kotlin', 'kubernetes', 'kafka', 'react', 'rest', 'restful', 'api', 'agile', 'graphql', 'grpc', 'postgres', 'couchbase', 'cassandra', 'elasticsearch', 'redis', 'opentracing', 'jaeger', 'prometheus', 'grafana', 'node.js', 'swift', 'chef', 'mysql', 'sql', 'javascript', 'html', 'css', 'mongodb', 'jenkins', 'c#', '.net', 'ibm', 'zos', 'reactjs', 'swiftui', 'hadoop-yarn', 'amazon-web-services', 'go', 'telemetry', 'nosql', 'postgresql', 'pyspark', 'scala', 'r', 'hiveql', 'hive', 'sas', 'aiml', 'tableau-api', 'sql-server', 'docker', 'elasticsearch-dsl', 'graphql-js', 'react-native', 'jakarta-ee', 'linux', 'unix', 'continuous-integration', 'vert.x', 'open-telemetry', 'neo4j', 'apache-flink', 'amazon-redshift', 'hbase', 'elk', 'terraform']","['Amex Flex (Hybrid Work Model)', 'Paid Time Off', 'Flexible Benefit Plan – Health, Life & Accident Insurance', 'Retirement Savings Plan (with company contributions)', 'Free Confidential Counseling Services', 'Wellness Centers & Health Living programs', 'Parental Leave & Nursing Mothers Rooms', 'Exclusive Deals and Discounts', '5 Uninterrupted Development Days/Year']"
MarketAxess,Financial Technology,501-1k employees,2000,Public,124,"['java', 'kafka', 'react', 'angular', 'javascript', 'typescript', 'python', 'linux', 'fix-protocol', 'amazon-web-services', 'ag-grid', 'snowflake-cloud-data-plat', 'sql', 'machine-learning', 'artificial-intelligence']","['Hybrid working: Mix of remote and in the office.', 'Competitive PTO package.', 'Free lunch when working in office.', 'Generous Parental Leave: Up to 20 weeks fully paid.', '401(k): Dollar-for-dollar employer match up to $17.5K.', 'Employees may purchase MarketAxess stock at a discount.', '$1K annually towards gym memberships, equipment, etc.', 'Highly competitive medical, dental, and vision programs.', 'On-site health care at our Hudson Yards location.', 'Tuition assistance and professional training.']"
MetLife,"Financial Services, Insurance",10k+ employees,1868,Public,128,"['azure', 'java', 'python', 'terraform', 'aem', 'identity-management', 'ping', 'apache', 'c#', '.net', 'javascript', 'sql', 'typescript', 'django', 'docker', 'express', 'hadoop', 'ionic-framework', 'jupyter', 'apache-kafka', 'kubernetes', 'node.js', 'oauth', 'apache-spark', 'spring', 'terraform-provider-azure', 'anaconda', 'git', 'db2', 'hbase', 'hive', 'sql-server', 'mongodb', 'oracle', 'postgresql', 'redis', 'azure-cosmosdb', 'azure-synapse', 'github', 'azure-devops', 'angular', 'apex', 'salesforce', 'adobe']","['Hybrid Work Environment', 'Complete Benefits Package (Health, Vision, Dental, Life, Disability)', '401(K) Retirement Savings Plan (with company matching)', 'MetLife Retirement Plan (after 1,000 hours in a 12-month period)', 'Generous Parental Leave and Adoption Assistance', 'Generous PTO, Paid Holidays, Paid Volunteer Time, Paid Sick Days', 'Mental Health Benefits', 'Employee Inclusion Groups', 'Virtual and local volunteer opportunities globally', 'Tuition Reimbursement Plan']"
Roblox,"Communications, Software Development, Virtual Worlds",1k-5k employees,Public,174,,"['c#', 'c++', 'lua', 'python', 'node.js', 'machine-translation', 'computer-vision', 'machine-learning', 'conversational-ai', 'artificial-intelligence', 'approximate-nn-searching', 'hive', 'trino', 'pytorch', 'tensorflow', 'kubeflow', 'redis', 'cockroachdb', 'nomad', 'consul', '.net', 'android', 'ios', 'elasticsearch', 'rust', 'ruby', 'terraform', 'haproxy', 'apache-spark', 'reactjs', 'apache-kafka']","['Robust medical, dental, and vision coverage', 'Competitive 401K matching', 'Family-forming and fertility coverage through Carrot', 'Lyra and Headspace memberships (mental health resources)', 'Care.com membership (caregiving resource)', 'Fitness reimbursement, Gympass membership & onsite gym', 'Pet insurance', 'Annual Caltrain Go Pass', 'Flexible paid time off including a 2-week end of year company closure', 'Free breakfast, lunch, and unlimited snacks onsite']"
Stack Overflow,"Advertising, Enterprise Software",501-1k employees,2008,Private,1.1k,"['c#', 'asp.net-mvc', 'redis', 'sql-server', 'elasticsearch', 'javascript', 'jquery']","['20+ days vacation to start (US), 25+ days (UK), 30+ days (Germany)', 'Completely FREE health insurance (no copay, no premiums)', 'Reimbursement for home office for all new hires', '16 weeks fully paid parental leave including parents who adopt', 'UNLIMITED sick and mental health days', 'Tuition & professional development reimbursement', '401k match', 'Bonus program', 'Flexible work schedules']"
Warner Bros. Discovery,"Broadcast, Digital Media, Entertainment",10k+ employees,Public,449,,"['java', 'spring-boot', 'javascript', 'python-3.x', 'angular', 'machine-learning', 'postgresql', 'neo4j', 'json', 'amazon-web-services', 'google-cloud-platform', 'elasticsearch', 'mysql', 'php', 'redux', 'angularjs', 'python', 'mongodb', 'node.js', 'ruby', 'reactjs', 'go', 'github', 'docker', 'kubernetes', 'selenium', 'appium', 'testrail', 'cucumber', 'crossplane', 'ffmpeg', 'kotlin', 'swift', 'c', 'opensearch', 'grafana', 'apache-kafka', 'cdn']","['Health insurance (medical, dental, vision, progyny)', 'Life insurance & disability', 'Family planning & family support', 'HSA', 'FSA', '401(k) plan', 'Commuter benefits', 'Paid company holidays', 'Vacation, sick time and various types of leave', 'Flexible work arrangements']"
Siemens AG,Industrial Automation,10k+ employees,1847,339,,"['python', 'c', 'java', 'c++', 'go', 'javascript', 'artificial-intelligence', 'amazon-web-services', 'azure', 'embedded-linux', 'rust', 'github', 'cicd', 'rest', 'http', 'security', 'industrial', 'iot', 'c#', 'node-red', 'mqtt', 'opc-ua', 'data-distribution-service', 'cloud', 'machine-learning', 'gitlab', 'kubernetes', 'vmware', 'docker', 'real-time', 'typescript', 'angular', 'reactjs']","['Promoting life-work balance', 'Supported well-being and resiliency', 'Wide range of development opportunities', 'Diverse and inclusive work environment']"
CGI (Canada),"Business Process Outsourcing, IT Consulting, System Integration",10k+ employees,1976,Private,239,"['azure', 'amazon-web-services', 'google-cloud-platform', 'oracle-cloud-infrastructu', 'devops', 'devsecops', 'sre', 'cloud', 'continuous-deployment', 'terraform', 'cloudformation', 'arm', 'ansible', 'sap', 'crm', 'java', '.net', 'spring', 'php', 'javascript', 'powerbi', 'sql-server', 'bigdata', 'wordpress', 'magento', 'angular', 'angularjs', 'view', 'python']","['Share purchase plan', 'Health insurance (short & long term disability)', 'Profit participation plan', 'Health spending account', 'Recognition of experience', 'Learning opportunities (certifications, online courses and more)', 'Social club activities', 'Health and well-being (member assistance program, telemedicine)', 'Committees (DE&I Council, Women of CGI, and more)', 'Supportive team']"
Equinor,"Energy & Utilities, Green Energy, Oil & Gas",10k+ employees,1972,Private,96,"['javascript', 'typescript', 'c#', 'python', 'sql', 'java', 'bigdata', 'data-science', 'azure', 'devops', 'linux', 'windows', 'c++', 'c']","['Promoting life-work balance', 'Supported well-being and resiliency', 'Wide range of development opportunities', 'Diverse and inclusive work environment']"
Novo Nordisk A/S,10k+ employees,1923,Public,412,,"['javascript', 'html', 'css', 'sql', 'python', 'c#', 'jquery', 'vue.js', 'node.js', '.net-core', 'mysql', 'mongodb', 'amazon-web-services', 'azure', 'azure-devops', 'ios', 'android', 'cypress', 'angular', 'cicd', 'rest']","['Working with highly skilled developers', 'Working with the latest cloud tech to drive innovation', 'Flexibility to balance your work and private life', 'Global career & development opportunities', 'Private health insurance', 'Full pay during pregnancy, maternity and paternity leave', 'A work environment focused on diversity, equity & inclusion', '6 weeks paid vacation in Denmark', 'Access to internal fitness centres, social clubs, and team events']"
